City,Population
Baoji,3775000
Xianyang,4986600
Weinan,5371600
Yan'an,2252800
Hanzhou,3446300
Yulin,3382000
Ankang,2656000
Shangluo,2371700
Lanzhou,3729600
Jiayuguan,249800
Jinchang,469200
Baiyin,1729300
Tianshui,3339800
Wuwei,1825300
Zhangye,1229300
Pingliang,2112800
Jiuquan,1123600
Qingyang,2256600
Dongxi,2.808400e+06
Longnan,2623100
Linxia,2044100
Gannan,716200
Xining,2013000
Haidong,1700000
Haibei,297000
Huangnan,270000
Hainan,466000
Guoluo,197000
Yushu,391000
Haixi,402000
Yinchuan,1340000
Shizuishan,480000
Wuzhou (Ningxia),1330000
Guyuan,1240000
Zhongwei,1120000
Urumuqi,2330000
Kelamayi,270000
Tulufan,590000
Hami,550000
Changji,1590000
Bozhou (Xinjiang),470000
Bazhou (Xinjiang),1170000
Akesu,2260000
Kezhou,470000
Kashi,3650000
Hetian,1800000
Yili,2600000
Tacheng,990000
Aletai,640000
Shihezi,660000
Ala'er,326800
Tumushuke,255600
Wujiaqu,125600
Beitun,80000
Wujiaqu,125600
Tiemenguan,50000
Shuanghe,53800
Kekedala,75000
Taiwan,23580000
Hongkong,7450000
Macao,630000
Hetian,360000
Moyu,646200
Yutian,289500
Gejiu,472000
